ID,GlideNumber,Country,OtherCountry,lat,long,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
4008,,Malaysia,,2.61996,103.073,31978.97,01/12/2012,04/12/2012,News,0,150,Torrential Rain,1
4009,,United Kingdom,,53.4569,-1.19371,106806.88,20/11/2012,18/12/2012,News,4,1700,Heavy Rain,1
4010,,Sri Lanka,,7.97653,80.7759,49084.64,16/12/2012,18/12/2012,News,9,6000,Heavy Rain,1.5
4011,,South Africa,,-30.568,30.1336,21010.51,11/12/2012,13/12/2012,News,3,10,Heavy Rain,1
4012,,Russia,,44.2559,39.1034,5668.01,06/01/2013,10/01/2013,News,4,1500,Torrential Rain,1.5
4013,,Indonesia,,-3.86702,121.883,67600.2,03/01/2013,10/01/2013,News,8,1000,Heavy Rain,1
4014,,Malaysia,Brunei,5.48006,101.661,29317.81,03/01/2013,10/01/2013,News,0,600,Torrential Rain,1
4015,,Philippines,,9.88586,118.626,6143.56,03/01/2013,10/01/2013,News,0,520,Tropical Storm Auring,1
4016,,Philippines,,7.25699,125.308,51781.98,04/01/2013,10/01/2013,News,0,3180,Heavy Rain,1
4017,,Peru,,-9.28298,-76.4573,318648.95,04/01/2013,10/01/2013,News,0,2000,Torrential Rain,1.5
4018,,Sri Lanka,,7.59777,80.9219,26063.39,08/01/2013,17/01/2013,News,52,56747,Heavy Rain,1.5
4019,,Palestine,Syria,32.8398,36.4502,29142.93,08/01/2013,10/01/2013,News,2,1600,Heavy Rain,1.5
4020,FL-2013-000006-IDN,Indonesia,,-6.17945,106.73,1746.34,13/01/2013,22/01/2013,News,32,46000,Monsoonal Rain,2
4021,,Malawi,,-15.6178,35.2027,20095.7,15/11/2012,22/01/2013,News,3,3000,Heavy Rain,1
4022,,Kenya,,0.058024,36.5172,71113.05,13/01/2013,17/01/2013,News,20,400,Heavy Rain,1
4023,,Mozambique,Zimbabwe,-24.8006,32.6773,83155.21,17/01/2013,04/03/2013,News,135,170000,Heavy Rain,1.5
4024,,Australia,,-19.3725,144.818,1021219.24,22/01/2013,01/02/2013,News,6,8000,Tropical Storm Oswald,1.5
4025,FL-2013-000012-SYC,Seychelles,,-4.60943,55.4243,451.786,27/01/2013,01/02/2013,News,0,106,Torrential Rain,1.5
4026,Fl-2013-000014-BWA,Botswana,South Africa,-20.3766,25.0646,198590.48,15/01/2013,01/02/2013,News,0,400,Heavy Rain,1.5
4027,,Peru,Bolivia,-20.3461,-69.094,577782.56,08/02/2013,12/02/2013,News,31,2400,Heavy Rain,2
4028,FL-2013-000017-PNG,Papua New Guinea,,-5.88736,144.477,245461.58,01/12/2012,12/02/2013,News,0,500,Heavy Rain,1
4029,,Indonesia,,0.733498,100.565,21653.62,16/02/2013,18/02/2013,News,0,3452,Heavy Rain,1
4030,,Indonesia,,1.0256,124.508,28873.67,16/02/2013,18/02/2013,News,17,0,Heavy Rain,1
4031,,Russia,,44.3289,39.2468,2432.33,20/02/2013,04/03/2013,News,4,1500,Torrential Rain,1
4032,,Indonesia,,-2.41871,104.265,4201.51,20/02/2013,04/03/2013,News,0,1000,Heavy rain,1.5
4033,,Malaysia,,4.29951,102.026,30584.22,10/02/2013,04/03/2013,News,0,5167,HeavyRain,1
4034,,Australia,,-24.971,149.832,240506.1,25/02/2013,04/03/2013,News,2,200,"Monsoonal Rain, Tropical Storm Rust",1
4035,,Thailand,,6.46589,101.308,9339.75,25/02/2013,04/03/2013,News,0,130,Heavy Rain,1
4036,,Macedonia,,42.0408,21.5776,3700.4,25/02/2013,04/03/2013,News,1,1200,Heavy Rain,1
4037,,Namibia,,-17.8146,22.6244,100905.17,01/03/2013,17/03/2013,News,0,10000,Heavy Rain,1
4038,,Spain,,37.8967,-2.94021,12282.15,13/03/2013,17/03/2013,News,0,200,Heavy Rain,1
4039,,France,,43.2579,2.54269,5910.43,09/03/2013,17/03/2013,News,1,1200,Heavy Rain,1
4040,,Portugal,,37.8419,-25.5351,2985.69,14/03/2013,17/03/2013,News,0,30,Heavy Rain,1
4041,,Peru,Bolivia,-16.5124,-70.9926,740437.68,10/03/2013,17/03/2013,News,0,3000,Heavy Rain,1.5
1968,,Philippines,,8.18196,122.984,2407.79,26/06/2002,27/06/2002,News,6,0,Heavy Rain,1
4042,,Spain,,40.2882,-3.81041,53241.03,31/03/2013,03/04/2013,News,2,300,Torrential Rain,1.5
4043,,Kenya,Uganda,2.46174,36.718,73170.41,28/03/2013,29/04/2013,News,63,18633,Heavy Rain,1.5
4044,,South Sudan,,6.06426,31.2168,215662.54,25/03/2013,03/04/2013,News,0,12000,Heavy Rain,1.5
4045,,Mauritius,,-20.2305,57.5238,1679.67,31/03/2013,03/04/2013,News,11,0,Torrential Rain,1.5
4046,,Argentina,,-34.4809,-58.6759,18135.4,01/04/2013,07/04/2013,News,59,3000,Torrential Rain,2
4047,,Albania,,42.0043,19.6182,3304.87,15/03/2013,12/04/2013,News,0,2800,Heavy Rain,1
4048,,Somalia,,3.38671,45.7365,27293.22,05/04/2013,29/04/2013,News,0,4000,Heavy Rain,1
4049,,Saudi Arabia,Oman,22.7624,52.3938,814307.06,25/04/2013,16/05/2013,News,0,0,Heavy Rain,1
4050,,USA,,38.8278,-88.6401,493136.77,22/04/2013,29/04/2013,News,5,300,Heavy Rain,1.5
4051,,USA,Canada,48.5643,-97.5977,43180.94,27/04/2013,29/04/2013,News,0,0,Heavy Rain and Snowmelt,1
4052,,Afghanistan,,36.9291,68.8486,14653.47,23/04/2013,29/04/2013,News,13,300,Torrential Rain,1
4053,,Russia,,68.1591,133.329,630162.34,06/05/2013,16/05/2013,News,0,390,Ice Jam and Ice Melt,1
4054,,Indonesia,,3.84919,98.6181,17152.64,06/05/2013,16/05/2013,News,0,3000,Torrential Rain,1
4055,,Somalia,,2.16964,43.6553,243476.26,01/05/2013,16/05/2013,News,7,50000,Heavy Rain,2
4056,2013-TC-000060-MMR and BGD,Bangladesh,Myanmar,23.6387,91.194,72847.78,14/05/2013,16/05/2013,News,19,1166000,Tropical Storm Mahasen,1.5
4057,,China,,23.6387,114.464,84761.74,12/05/2013,28/05/2013,News,55,10000,Monsoonal Rain,1.5
4058,2013-TC-000060-LKA,Sri Lanka,,7.13528,80.5325,17254.01,13/05/2013,16/05/2013,News,7,115000,Tropical Storm Mahasen,1
4059,,Columbia,,3.66687,-74.5465,125894.94,26/05/2013,28/05/2013,News,0,0,Torrential Rain,1
4060,,USA,,28.899,-98.8879,33907.85,25/05/2013,28/05/2013,News,3,300,Heavy Rain,2
4061,,USA,,41.9211,-93.3867,123500.44,25/05/2013,03/06/2013,News,0,400,Heavy Rain,1
4062,,Norway,,61.2832,10.478,28071.86,22/05/2013,28/05/2013,News,0,500,Heavy Rain and Snowmelt,1.5
4063,,Germany,Czech Republic,49.1358,12.1089,241203.7,28/05/2013,18/06/2013,News,8,3000,Heavy Rain,2
4064,,USA,,37.0898,-91.6341,170079.48,25/05/2013,03/06/2013,News,5,0,Torrential Rain,1.5
4065,,India,,32.7135,76.6135,131743.41,12/06/2013,27/06/2013,News,5748,75000,Monsoonal Rain,1.5
4066,,New Zealand,,-44.3589,170.669,42497.49,15/06/2013,18/06/2013,News,0,0,Heavy Rain,1.5
4067,,India,,21.9781,82.5285,152700.5,11/06/2013,18/06/2013,News,0,8000,Monsoonal Rain,1
4068,,Canada,,51.2434,-109.647,307926.47,20/06/2013,27/06/2013,News,3,100000,Heavy Rain,2
4069,,India,,27.387,94.9182,38019.26,23/06/2013,15/07/2013,News,80,2000000,Monsoonal Rain,2
4070,,Laos,,17.6991,104.85,32196.91,23/06/2013,27/06/2013,News,0,0,Monsoonal Rain,1
4071,,China,,30.4563,104.022,419827.15,05/07/2013,15/07/2013,News,200,100000,Heavy Rain,1.5
4072,,China,,25.8633,118.14,101850.92,13/07/2013,15/07/2013,News,1,300000,Tropical Storm Sulik,1.5
4073,,China,,23.0867,108.355,112220.53,11/07/2013,15/07/2013,News,0,8,Torrential Rain,1.5
4074,,North Korea,,39.6151,126.319,21695.38,10/07/2013,15/07/2013,News,2,760,Heavy Rain,1
4075,,Paraguay,,-24.146,-57.6536,131222.52,04/07/2013,15/07/2013,News,0,52000,Heavy Rain,1.5
4076,,Kenya,,1.66076,35.2088,9047.26,05/08/2013,07/08/2013,News,0,5000,Heavy Rain,1
4077,,Sudan,,13.6883,28.9896,1004638.92,01/08/2013,21/08/2013,News,11,100000,Heavy Rain,1.5
4078,,Pakistan,Afghanistan,32.8144,70.6377,549425.38,01/08/2013,07/08/2013,News,135,81000,Heavy Rain,1.5
4079,,Russia,China,50.0043,128.424,102479.27,01/08/2013,07/08/2013,News,0,1500,Heavy Rain,2
4080,,USA,,38.2138,-94.1535,123143.44,05/08/2013,07/08/2013,News,2,100,Torrential Rain,1.5
4081,,Burma/Myanmar,Thailand,18.3122,98.1556,125250.85,25/07/2013,07/08/2013,News,1,34000,Heavy Rain,1.5
4082,,Pakistan,,28.7404,69.1065,462763.09,07/08/2013,21/08/2013,News,70,12000,"Monsoon Rain, began with #4078",1.5
4083,,China,Russia,50.5323,130.272,1430155.56,07/08/2013,14/10/2013,News,100,260000,"Heavy Rain, began with #4079",2
